Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Current_Year,Car_Age,Depreciation_Rate
city,2014,8.25,14.0,63000,Diesel,Dealer,Manual,0,2025,11,52.27272727272727
city,2016,8.99,11.8,9010,Petrol,Dealer,Manual,0,2025,9,31.22222222222223
brio,2013,3.5,5.9,9800,Petrol,Dealer,Manual,0,2025,12,20.000000000000004
jazz,2016,7.4,8.5,15059,Petrol,Dealer,Automatic,0,2025,9,12.222222222222218
jazz,2016,5.65,7.9,28569,Petrol,Dealer,Manual,0,2025,9,25.0
amaze,2015,5.75,7.5,44000,Petrol,Dealer,Automatic,0,2025,10,17.5
city,2015,8.4,13.6,34000,Petrol,Dealer,Manual,0,2025,10,51.99999999999999
city,2016,10.11,13.6,10980,Petrol,Dealer,Manual,0,2025,9,38.77777777777778
amaze,2014,4.5,6.4,19000,Petrol,Dealer,Manual,0,2025,11,17.272727272727277
brio,2015,5.4,6.1,31427,Petrol,Dealer,Manual,0,2025,10,6.999999999999992
jazz,2016,6.4,8.4,12000,Petrol,Dealer,Manual,0,2025,9,22.22222222222222
city,2010,3.25,9.9,38000,Petrol,Dealer,Manual,0,2025,15,44.333333333333336
amaze,2014,3.75,6.8,33019,Petrol,Dealer,Manual,0,2025,11,27.727272727272727
city,2015,8.55,13.09,60076,Diesel,Dealer,Manual,0,2025,10,45.39999999999999
city,2016,9.5,11.6,33988,Diesel,Dealer,Manual,0,2025,9,23.33333333333333
brio,2015,4.0,5.9,60000,Petrol,Dealer,Manual,0,2025,10,19.000000000000004
city,2009,3.35,11.0,87934,Petrol,Dealer,Manual,0,2025,16,47.8125
city,2017,11.5,12.5,9000,Diesel,Dealer,Manual,0,2025,8,12.5
brio,2016,5.3,5.9,5464,Petrol,Dealer,Manual,0,2025,9,6.666666666666672
